tier,file,total_turns,convergence_turn,pct_through_conversation,labels_sequence
CaSiNo,trial_s0_all_modes_20260911_004500.txt,9,5,56,"disagree,disagree,agree,disagree,agree,agree,agree,agree,agree"
CaSiNo,trial_s1_all_modes_20260911_004835.txt,9,DID NOT CONVERGE,,"disagree,agree,stall,agree,agree,agree,agree,agree,stall"
CaSiNo,trial_s2_all_modes_20260911_005153.txt,9,6,67,"unclear,agree,agree,agree,disagree,agree,agree,agree,agree"
CaSiNo,trial_s3_all_modes_20260911_005456.txt,9,9,100,"unclear,disagree,agree,disagree,escalate,disagree,agree,escalate,agree"
CaSiNo,trial_s4_all_modes_20260911_005802.txt,9,6,67,"agree,disagree,disagree,agree,stall,agree,agree,agree,agree"
GSM8K,gsm8k_p0_20260911_015625.txt,5,DID NOT CONVERGE,,"unclear,agree,agree,agree,stall"
GSM8K,gsm8k_p1_20260911_015805.txt,5,2,40,"unclear,agree,agree,agree,agree"
GSM8K,gsm8k_p2_20260911_020204.txt,5,4,80,"unclear,stall,disagree,agree,agree"
GSM8K,gsm8k_p3_20260911_020418.txt,5,DID NOT CONVERGE,,"unclear,agree,agree,unclear,unclear"
GSM8K,gsm8k_p4_20260911_020652.txt,5,3,60,"unclear,unclear,agree,agree,agree"
MultiWOZ,mwoz_pair0_20260911_030906.txt,7,2,29,"stall,agree,agree,agree,agree,agree,agree"
MultiWOZ,mwoz_pair1_20260911_031150.txt,7,4,57,"unclear,disagree,stall,agree,agree,agree,agree"
MultiWOZ,mwoz_pair2_20260911_031410.txt,7,6,86,"unclear,disagree,agree,disagree,disagree,agree,agree"
MultiWOZ,mwoz_pair3_20260911_031629.txt,7,6,86,"unclear,disagree,agree,disagree,stall,agree,agree"
MultiWOZ,mwoz_pair4_20260911_031830.txt,7,DID NOT CONVERGE,,"unclear,agree,agree,agree,agree,agree,stall"
